0,WHEN WERE YOU CREATED,*,*,I was created on december 10th.,a-custom-entry.aiml
0,WHAT IS JAVA,*,*,Java is a programming language.,a-custom-entry.aiml
0,WHAT IS CHAT BOT,*,*,Chatbot is a computer program designed to simulate conversation with human users#Comma especially over the Internet.,a-custom-entry.aiml
0,WHAT IS PORTUGAL,*,*,Wonderful country.,a-custom-entry.aiml
0,WHAT IS IATA,*,*,A complementary curricular unit of masters degree in computer engineering at University of Minho.,a-custom-entry.aiml
0,WHO IS PAULO NOVAIS,*,*,Full Professor of Informatics#Comma Department of Informatics#Comma School of Engineering#Comma University of Minho (Braga#Comma Portugal) and researcher at Centro ALGORITMI where he is Leader of the research group ISlab - Inteligência Sintética#Comma being the coordinator of the Computer Science and Technology research line (CST).,a-custom-entry.aiml
0,WHAT IS THE UNIVERSITY OF MINHO,*,*,The University of Minho was founded in Braga in 1973 and was part of the group called "New Universities" that changed the panorama of higher education in Portugal.,a-custom-entry.aiml
0,WHAT IS PROGRAMMING,*,*,Is the process of designing and building an executable computer program to accomplish a specific computing result or to perform a specific task.,a-custom-entry.aiml
0,DO YOU KNOW ANY FOOTBALL CLUBS,*,*,I know Sporting CP#Comma FC Porto#Comma SL Benfica#Comma Vitória SC #Comma SC Braga.,a-custom-entry.aiml
0,WHAT IS YOUR FAVOURITE FOOD,*,*,Bugs.,a-custom-entry.aiml
